122542,2
79125,1
109089,2
114384,2
106631,2
57827,2
8500,2
1764,0
31264,2
67377,1
143803,2
144357,2
109125,2
78116,2
151885,4
58252,2
132110,2
76985,3
46058,3
40324,2
53952,3
140532,2
49207,2
90113,2
2008,2
112882,2
54842,2
80913,1
92675,2
36632,3
40101,4
69243,1
78680,2
124304,3
92054,2
113951,2
112706,2
64393,2
88302,1
49513,2
134404,2
70976,3
101231,2
135379,2
151395,2
130543,2
156013,2
61590,2
139373,1
151836,2
110687,2
91515,3
125414,2
138511,1
129736,2
24378,2
100389,4
72953,3
52769,2
24416,0
116006,2
149146,2
114809,2
17348,2
106810,2
79057,2
119343,2
1457,2
66397,3
5019,2
65002,2
79742,3
72106,2
63809,2
28578,2
90879,2
37597,2
7614,1
72237,1
4483,2
102890,3
26121,3
30385,2
27789,2
128251,2
93550,2
119104,2
60893,2
44621,2
123661,2
110727,1
73206,2
22447,2
78690,2
43896,2
116987,2
46557,3
46526,2
35858,2
61276,2
25259,1
56863,3
119324,1
21293,2
54965,2
89754,2
42732,2
60660,2
79454,1
94024,0
101621,1
45022,1
15525,2
11913,2
52220,1
85323,0
120321,2
32106,2
13691,2
49113,2
109624,2
122011,3
103615,2
40924,1
4792,2
68373,2
148407,4
63467,2
50447,3
7068,1
1013,2
47130,2
97275,2
97120,2
11279,1
86187,1
23468,2
81916,1
26033,2
104776,2
128687,2
33108,2
96856,3
76280,2
38739,2
110122,3
59326,2
39374,1
130472,2
124648,2
70391,1
54839,2
150610,0
141025,2
52284,2
146723,2
13356,1
111116,3
126059,1
131637,2
25111,2
11831,2
128884,2
113437,2
111593,4
21814,2
65950,1
38810,2
24709,3
138451,2
16690,2
129178,2
92692,2
144050,2
131669,2
52260,3
13403,1
59510,1
120230,2
42085,2
147827,2
28290,2
141867,2
146573,2
77544,1
21507,2
131418,2
15097,0
21270,2
105545,2
39681,2
13390,2
31357,1
15934,2
142842,2
113398,3
107434,2
46946,1
71234,2
98621,1
114500,2
145102,2
94011,4
1249,2
116705,2
95110,1
78038,2
117504,2
84152,3
71800,2
113864,2
106576,2
75555,2
36775,2
118446,2
50533,2
143802,2
7207,2
123254,2
146226,2
60868,2
106479,0
150336,3
114018,2
32217,2
96854,3
117370,1
142683,2
100146,1
30941,2
27285,2
77198,2
123058,2
30539,2
71488,2
119083,2
149226,2
153119,2
27863,2
113929,2
5175,2
5993,2
116456,2
76551,4
86133,2
16348,2
36432,3
32761,2
86232,2
25528,2
143651,2
57211,1
147868,2
65393,2
